RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31
394312,59,"Albuquerque, NM",Msa,NM,238817.0,240446.0,245042.0,251560.0,257785.0,261043.0,259381.0,254819.0,249279.0,247649.0,247649.0,249197.0,249229.0,252456.0,257419.0,263937.0,267880.0,270983.0,272580.0,273525.0,273362.0,273362.0,273069.0,271765.0,273411.0,279929.0,288077.0,292981.0,299825.0,312861.0,327722.0,336192.0,336839.0,336840.0,336372.0,337213.0,337916.0,339585.0,346959.0,353625.0,363177.0,366870.0,370170.0,369993.0,371633.0,380566.0
394308,60,"Albany, NY",Msa,NY,236892.0,240532.0,244514.0,246064.0,247686.0,249848.0,253812.0,257236.0,257236.0,256407.0,256587.0,256587.0,255686.0,255830.0,259398.0,264443.0,268047.0,269884.0,272011.0,271686.0,268047.0,264443.0,263002.0,263038.0,261236.0,262137.0,267506.0,274714.0,282462.0,291868.0,302679.0,308445.0,"","","",288663.0,"","","","","","","","","",""
394938,61,"Omaha, NE",Msa,NE,278492.0,286367.0,294773.0,304918.0,310210.0,310244.0,306868.0,303492.0,300791.0,294444.0,287965.0,285568.0,288522.0,297026.0,310564.0,323394.0,330112.0,327129.0,323248.0,318201.0,312237.0,302614.0,294494.0,291591.0,293988.0,302800.0,311760.0,318512.0,322732.0,327276.0,331496.0,331665.0,327276.0,324266.0,320685.0,320758.0,320735.0,327894.0,335833.0,343267.0,343300.0,334967.0,323333.0,315000.0,311500.0,313000.0
394908,62,"New Haven, CT",Msa,CT,284220.0,290882.0,301033.0,312893.0,321265.0,326846.0,327159.0,322625.0,317358.0,313730.0,310242.0,305045.0,300998.0,302707.0,309649.0,319102.0,324334.0,324369.0,319102.0,313905.0,308637.0,305149.0,303056.0,301622.0,299878.0,300192.0,305114.0,310347.0,322241.0,332392.0,346378.0,350180.0,348785.0,341775.0,335532.0,326811.0,320189.0,317913.0,323233.0,337933.0,349600.0,356267.0,350600.0,343633.0,337000.0,336300.0
394357,63,"Bakersfield, CA",Msa,CA,249052.0,251971.0,257392.0,263319.0,266526.0,267810.0,267497.0,264578.0,259766.0,254954.0,251393.0,248218.0,246582.0,245363.0,248090.0,254537.0,260953.0,264642.0,265925.0,264963.0,262813.0,258290.0,256013.0,254890.0,256045.0,257678.0,262233.0,264318.0,265925.0,265925.0,269133.0,276831.0,284851.0,292854.0,294737.0,290246.0,284155.0,281359.0,287667.0,296633.0,308300.0,315467.0,321500.0,319833.0,319667.0,319667.0
394753,64,"Knoxville, TN",Msa,TN,264183.0,263217.0,266633.0,276633.0,286600.0,291600.0,289933.0,283267.0,277100.0,272100.0,268767.0,267933.0,265300.0,266167.0,269800.0,279100.0,289900.0,296567.0,301600.0,301600.0,301300.0,296267.0,289600.0,283233.0,279900.0,283233.0,289932.0,298265.0,306884.0,318552.0,331919.0,341667.0,340000.0,331633.0,318267.0,308265.0,304273.0,305973.0,315942.0,339933.0,361567.0,371567.0,361267.0,352633.0,349167.0,345833.0
394653,65,"Greenville, SC",Msa,SC,258574.0,260326.0,264802.0,270886.0,274880.0,278002.0,278288.0,277970.0,272921.0,268143.0,263684.0,261167.0,259606.0,260721.0,266136.0,274100.0,280789.0,281713.0,278209.0,271966.0,268625.0,267319.0,267287.0,265850.0,264289.0,267219.0,271783.0,274969.0,277995.0,283942.0,288811.0,290563.0,288492.0,289175.0,287340.0,283997.0,279330.0,278962.0,285965.0,302632.0,316333.0,331967.0,338933.0,346900.0,348233.0,344886.0
394952,66,"Ventura, CA",Msa,CA,779167.0,780500.0,777500.0,785667.0,779300.0,772633.0,756300.0,746333.0,726664.0,709964.0,696614.0,689950.0,688316.0,691333.0,701000.0,712333.0,725667.0,739300.0,749633.0,761633.0,774667.0,784333.0,784000.0,779333.0,779633.0,792467.0,810800.0,809133.0,804633.0,807967.0,832667.0,856333.0,868000.0,871583.0,864583.0,864250.0,"","","","","","","","","",""
394318,67,"Allentown, PA",Msa,PA,222867.0,222867.0,225900.0,232300.0,237300.0,240267.0,242267.0,240633.0,236300.0,231600.0,228267.0,226600.0,224041.0,225707.0,230707.0,238300.0,244633.0,248000.0,251300.0,251600.0,250767.0,247450.0,245317.0,242783.0,242100.0,244267.0,254267.0,261633.0,268267.0,269967.0,277967.0,284633.0,289300.0,289633.0,289333.0,289633.0,292933.0,304900.0,316597.0,324930.0,326597.0,324933.0,322967.0,319633.0,321300.0,321300.0
394561,68,"El Paso, TX",Msa,TX,179310.0,179505.0,179686.0,180377.0,180891.0,182663.0,184789.0,187111.0,187819.0,188014.0,188192.0,189432.0,192267.0,195262.0,197902.0,199834.0,201801.0,203396.0,203396.0,202652.0,201960.0,201978.0,203413.0,203396.0,203396.0,201978.0,201978.0,201606.0,202494.0,204284.0,207828.0,210466.0,212221.0,212909.0,"","","",228650.0,231983.0,235633.0,241950.0,248267.0,252117.0,252150.0,251817.0,253617.0
